Sr.,Stock Name,Symbol,Yahoo_symbol
102,Max Healthcare Institute Ltd,MAXHEALTH,MAXHEALTH.NS
103,Bharat Forge Limited,BHARATFORG,BHARATFORG.NS
104,TATA Consumer Products Ltd,TATACONSUM,TATACONSUM.NS
105,Jsw Steel Limited,JSWSTEEL,JSWSTEEL.NS
106,KFin Technologies Ltd,KFINTECH,KFINTECH.NS
107,Axis Bank Limited,AXISBANK,AXISBANK.NS
108,Aurobindo Pharma Limited,AUROPHARMA,AUROPHARMA.NS
109,360 ONE WAM Ltd,360ONE,360ONE.NS
110,Jindal Steel & Power Limited,JINDALSTEL,JINDALSTEL.NS
111,Zydus Lifesciences Ltd,ZYDUSLIFE,ZYDUSLIFE.NS
112,Hdfc Bank Limited,HDFCBANK,HDFCBANK.NS
113,Tata Chemicals Limited,TATACHEM,TATACHEM.NS
114,Fortis Healthcare Limited,FORTIS,FORTIS.NS
115,Adani Green Energy Ltd,ADANIGREEN,ADANIGREEN.NS
116,Bajaj Finance Limited,BAJFINANCE,BAJFINANCE.NS
117,Laurus Labs Limited,LAURUSLABS,LAURUSLABS.NS
118,Life Insurance Corporation of India,LICI,LICI.NS
119,Titagarh Rail Systems Ltd,TITAGARH,TITAGARH.NS
120,State Bank Of India,SBIN,SBIN.NS
121,SBI Cards & Payment Services Ltd,SBICARD,SBICARD.NS
122,Pnb Housing Finance Limited,PNBHOUSING,PNBHOUSING.NS
123,The Indian Hotels Company Limited,INDHOTEL,INDHOTEL.NS
124,HDFC Life Insurance Company Ltd,HDFCLIFE,HDFCLIFE.NS
125,Adani Energy Solutions Ltd,ADANIENSOL,ADANIENSOL.NS
126,Dlf Limited,DLF,DLF.NS
127,Indusind Bank Limited,INDUSINDBK,INDUSINDBK.NS
128,CG Power and Industrial Solutions Ltd,CGPOWER,CGPOWER.NS
129,Marico Limited,MARICO,MARICO.NS
130,Hindalco Industries Limited,HINDALCO,HINDALCO.NS
131,Upl Limited,UPL,UPL.NS
132,AU Small Finance Bank,AUBANK,AUBANK.NS
133,Indian Railway Catering & Tourism Corporation Ltd,IRCTC,IRCTC.NS
134,Tata Motors Limited,TATAMOTORS,TATAMOTORS.NS
135,Tata Technologies Ltd,TATATECH,TATATECH.NS
136,Indian Bank,INDIANB,INDIANB.NS
137,Syngene International Limited,SYNGENE,SYNGENE.NS
138,Jubilant Foodworks Limited,JUBLFOOD,JUBLFOOD.NS
139,Icici Prudential Life Insurance Company Limited,ICICIPRULI,ICICIPRULI.NS
140,Shriram Finance Ltd,SHRIRAMFIN,SHRIRAMFIN.NS
141,Ambuja Cements Limited,AMBUJACEM,AMBUJACEM.NS
142,Lic Housing Finance Limited,LICHSGFIN,LICHSGFIN.NS
143,Pg Electroplast Limited,PGEL,PGEL.NS
144,Container Corporation Of India Limited,CONCOR,CONCOR.NS
145,Dabur India Limited,DABUR,DABUR.NS
146,Jsw Energy Limited,JSWENERGY,JSWENERGY.NS
147,Kalyan Jewellers India Ltd,KALYANKJIL,KALYANKJIL.NS
148,Varun Beverages Limited,VBL,VBL.NS
149,Delhivery Ltd,DELHIVERY,DELHIVERY.NS
150,Sona BLW Precision Forgings Ltd,SONACOMS,SONACOMS.NS
151,Hindustan Zinc Limited,HINDZINC,HINDZINC.NS
152,Vedanta Limited,VEDL,VEDL.NS
153,Iifl Holdings Limited,IIFL,IIFL.NS
154,Exide Industries Limited,EXIDEIND,EXIDEIND.NS
155,Itc Limited,ITC,ITC.NS
156,Oil India Limited,OIL,OIL.NS
157,Power Finance Corporation Limited,PFC,PFC.NS
158,Hindustan Petroleum Corporation Limited,HINDPETRO,HINDPETRO.NS
159,Tata Power Company Limited,TATAPOWER,TATAPOWER.NS
160,Coal India Limited,COALINDIA,COALINDIA.NS
161,Bharat Electronics Limited,BEL,BEL.NS
162,Rural Electrification Corporation Limited,RECLTD,RECLTD.NS
163,Biocon Limited,BIOCON,BIOCON.NS
164,Ntpc Limited,NTPC,NTPC.NS
165,Crompton Greaves Consumer Electricals Limited,CROMPTON,CROMPTON.NS
166,Rail Vikas Nigam Ltd,RVNL,RVNL.NS
167,Eternal Ltd,ETERNAL,ETERNAL.NS
168,Indus Towers Ltd (Bharti Infratel),INDUSTOWER,INDUSTOWER.NS
169,Bharat Petroleum Corporation Limited,BPCL,BPCL.NS
170,Jio Financial Services Ltd,JIOFIN,JIOFIN.NS
171,Manappuram Finance Limited,MANAPPURAM,MANAPPURAM.NS
172,Power Grid Corporation Of India Limited,POWERGRID,POWERGRID.NS
173,Petronet Lng Limited,PETRONET,PETRONET.NS
174,Aditya Birla Capital Ltd,ABCAPITAL,ABCAPITAL.NS
175,Rbl Bank Limited,RBLBANK,RBLBANK.NS
176,Wipro Limited,WIPRO,WIPRO.NS
177,Oil & Natural Gas Corporation Limited,ONGC,ONGC.NS
178,Bank Of Baroda,BANKBARODA,BANKBARODA.NS
179,FSN E-Commerce Ventures Ltd,NYKAA,NYKAA.NS
180,L&T Finance Ltd,LTF,LTF.NS
181,Indraprastha Gas Limited,IGL,IGL.NS
182,Housing and Urban Development Corporation,HUDCO,HUDCO.NS
183,Bharat Heavy Electricals Limited,BHEL,BHEL.NS
184,Ncc Limited,NCC,NCC.NS
185,National Aluminium Company Limited,NATIONALUM,NATIONALUM.NS
186,Piramal Pharma Ltd,PPLPHARMA,PPLPHARMA.NS
187,The Federal Bank  Limited,FEDERALBNK,FEDERALBNK.NS
188,Gail (india) Limited,GAIL,GAIL.NS
189,Bandhan Bank Ltd,BANDHANBNK,BANDHANBNK.NS
190,Tata Steel Limited,TATASTEEL,TATASTEEL.NS
191,Indian Renewable Energy Development Agency Ltd,IREDA,IREDA.NS
192,Inox Wind Limited,INOXWIND,INOXWIND.NS
193,Indian Energy Exchange Ltd,IEX,IEX.NS
194,Indian Oil Corporation Limited,IOC,IOC.NS
195,Sammaan Capital Ltd,SAMMAANCAP,SAMMAANCAP.NS
196,Ashok Leyland Limited,ASHOKLEY,ASHOKLEY.NS
197,Union Bank Of India,UNIONBANK,UNIONBANK.NS
198,Steel Authority Of India Limited,SAIL,SAIL.NS
199,Indian Railway Finance Corporation Ltd,IRFC,IRFC.NS
200,Bank Of India,BANKINDIA,BANKINDIA.NS
201,Canara Bank,CANBK,CANBK.NS
202,Punjab National Bank,PNB,PNB.NS
203,Nbcc (india) Limited,NBCC,NBCC.NS
204,Motherson Sumi Systems Limited,MOTHERSON,MOTHERSON.NS
205,GMR Airports Ltd,GMRAIRPORT,GMRAIRPORT.NS
206,Nhpc Limited,NHPC,NHPC.NS
207,Nmdc Limited,NMDC,NMDC.NS
208,Himachal Futuristic Communications Limited,HFCL,HFCL.NS
209,IDFC First Bank Ltd,IDFCFIRSTB,IDFCFIRSTB.NS
210,Suzlon Energy Limited,SUZLON,SUZLON.NS
211,Yes Bank Limited,YESBANK,YESBANK.NS
212,Idea Cellular Limited,IDEA,IDEA.NS
